id	en	zh
v0131	Give me a little.	給我一點兒。
v0132	My house is big.	我家很大。
v0133	Cows provide us with milk.	奶牛為我們提供牛奶。
v0134	The service here is awful.	這裡的服務很糟糕。
v0135	I'm a friend.	我是朋友。
v0136	It's not important.	這個不重要。
v0137	He's my father.	他是我的爸爸。
v0138	Sit beside me.	坐我旁邊。
v0139	Take it away.	拿走。
v0140	Knowledge is power.	知識就是力量。
v0141	He left an hour ago.	他一小時前走了。
v0142	What a game!	這遊戲太棒了！
v0143	I often hiccup.	我經常打嗝。
v0144	That's MY line!	那是我該說的話!
v0145	I support political reform.	我支援政治改革。
v0146	It's a dead end.	這是個死衚衕。
v0147	Did you ever try?	你試過嗎？
v0148	Stand aside.	一邊站著。
v0149	It's my bad.	這是我的錯。
v0150	I won't lose!	我不會輸！
v0151	However, I have no money.	但是，我沒有錢。
v0152	Every member must attend.	所有的成員都必須參加。
v0153	Pay attention!	請注意！
v0154	He is the law.	他就是王法。
v0155	Meet me there.	在那裡見我。
v0156	I have a car.	我有一輛車。
v0157	I like your city.	我喜歡你們的城市。
v0158	I almost won.	我幾乎贏了。
v0159	The price does not include the box.	這個價格不包含這個箱子。
v0160	We'll continue.	我們要繼續下去。
v0161	Set me free!	釋放我！
v0162	See you later!	再見！
v0163	Tom is an activist in his community.	湯姆是社群中的積極分子。
v0164	My name is 王明.	我叫王明。
v0165	Give me five!	擊掌！
v0166	Return at once.	馬上回來。
v0167	Paper is white.	紙是白色的。
v0168	I like math least of all.	我最不喜歡數學。
v0169	He was elected president.	他被選為總統。
v0170	Are you for real?	你是認真的嗎？
v0171	Tom can change.	湯姆能改變。
v0172	Our team lost, 2-0.	我們隊0:2輸了。
v0173	Every minute counts.	分秒必爭。
v0174	Do your best.	盡力而為。
v0175	He came several times.	他來了很多次了。
v0176	I've no idea.	我一無所知。
v0177	Don't kid me!	不要耍我！
v0178	Over my dead body.	除非我死了！
v0179	Information is power.	資訊就是力量。
v0180	Nothing new.	沒什麼新鮮事。
v0181	I lead a busy life.	我有一個忙碌的生活。
v0182	I'm a social worker.	我是個社會工作人員。
v0183	I understand.	我明白了。
v0184	Let's watch TV.	看電視吧。
v0185	Work together.	一起工作。
v0186	Do you follow?	懂了嗎？
v0187	He's the new CEO from the parent company in France.	他是來自法國母公司的新任執行長。
v0188	Can we stop?	我們能停下嗎？
v0189	I lost face.	我丟臉了。
v0190	Anything new?	有什麼新鮮事嗎？
v0191	Small timers can also create history.	小人物同樣可以創造歷史。
v0192	He made fun of me in public.	他在公共場合取笑了我。
v0193	It's already 11.	已經是11點了。
v0194	He can read.	他識字。
v0195	We are on the same level.	我們不在一個水平上。
v0196	Allow me to go.	請允許我去。
v0197	Add a little milk.	加點牛奶。
v0198	Lock the office.	把辦公室鎖上。
v0199	You spend too much money.	你花太多錢了。
v0200	Go next door.	去隔壁。
v0201	To your health!	祝你健康！
v0202	Art for art's sake.	為藝術而藝術。
v0203	Are you sure?	你肯定嗎？
v0204	Who likes war?	誰喜歡戰爭?
v0205	I like history.	我喜歡歷史。
v0206	I threw a party.	我舉辦了一場派對。
v0207	Apples grow on trees.	蘋果長在樹上。
v0208	The result was modest.	結果並不可觀。
v0209	Open Sesame!	芝麻開門！
v0210	Good morning!	早上好！
v0211	Can you walk?	你能走嗎？
v0212	What's the reason?	是什麼原因呢？
v0213	The battery is low.	電池快沒電了。
v0214	Did Tom win?	湯姆贏了嗎？
v0215	He is absorbed in his research.	他專注於他的研究。
v0216	I am a girl.	我是個女孩兒。
v0217	I'm a nice guy.	我是好人。
v0218	Tom is early.	湯姆還早。
v0219	The food is cold.	食物是冷的。
v0220	Wait a moment.	請稍等。
v0221	Air is invisible.	空氣是無形的。
v0222	Teacher Guan!	關老師！
v0223	Don't force me!	別逼我！
v0224	I accept the offer.	我接受了報價。
v0225	That's enough.	夠了。
v0226	Education starts at home.	教育從家庭開始。
v0227	Remember that.	給我記住。
v0228	My foot hurts.	我的腳痛。
v0229	Give Tom a second.	給湯姆一點時間。
v0230	Be a good boy.	做個討人喜歡的小朋友。
v0231	Maybe tomorrow.	可能明天吧。
v0232	I'm able to swim.	我會游泳。
v0233	"Age?" "16."	‘年齡’ ‘16歲’
v0234	He had decided on a new policy.	他已經決定了新的政策。
v0235	I know everything.	我什麼都知道。
v0236	I love rock.	我愛搖滾。
v0237	Learning is a gradual process.	學習是一個循序漸進的過程。
v0238	I love music.	我愛音樂。
v0240	We can consider that.	我們可以考慮。
v0241	Kelly will appear on TV.	凱莉將在電視上出現。
v0242	Actually, I was wrong.	實際上我錯了。
v0243	I buy tapes.	我買磁帶。
v0244	Mary is probably rich.	瑪麗應該有錢。
v0245	Wait for me!	等等我。
v0246	The market is big.	市場很大。
v0247	He will die.	他會死。
v0248	Send it airmail.	航空郵寄它。
v0249	We expect to win.	我們看來會贏。
v0250	It makes sense.	那樣說得通。
v0251	Birds build nests.	鳥兒築巢。
v0252	Let us stay.	讓我們留下。
v0253	It's fall now.	現在是秋天。
v0254	Tom has a plan.	湯姆有個計畫。
v0255	I cut class.	我翹課了。
v0256	I miss college.	我想念大學。
v0257	My interest quickened.	我的興趣被激起來了。
v0258	Yes, of course.	當然是的。
v0259	Someone came.	有人來了。
v0260	We learn by experience.	我們從經驗中學習。
v0261	What's today's date?	今天幾號？
v0262	Fruit generally rots soon.	水果一般不久就會腐爛。
v0263	Sorry I'm late.	對不起，我遲到了。
v0264	His company didn't survive the crisis.	他的公司沒有從危機中倖存。
v0265	His work is now complete.	他的工作現在完成了。
v0266	I want a fan.	我想買風扇。
v0267	Stick it on later.	等一下再粘。
v0268	How would you define "happiness"?	你怎麼定義“幸福”？
v0269	He tires easily.	他很容易覺得累。
v0270	He dug a hole.	他挖了一個洞。
v0271	Hydrogen is the lightest element.	氫是最輕的元素。
v0272	Can you tell me about your marital status?	能告訴我你的婚姻狀況嗎？
v0273	I had a vision.	我有一個設想。
v0274	That's normal.	很正常。
v0275	I've never been on a ship.	我從來沒乘坐船。
v0276	The stone is heavy.	這個石頭很重。
v0277	There isn't any solution.	無解。
v0278	Work slowly.	幹活慢點。
v0279	Please put your baggage on this scale.	請把你的行李放在這秤上。
v0280	Let me introduce it.	我介紹一下。
v0281	He is a bad driver.	他是個糟糕的司機。
v0282	Did Spot go, too?	Spot也去了嗎？
v0283	We lack one spoon.	缺一把勺子。
v0284	This is ice.	這是冰塊。
v0285	Drink water.	喝水。
v0286	The sun sets.	夕陽西下。
v0287	I can't judge distance.	我無法判斷距離。
v0288	Wood floats.	木頭會漂浮。
v0289	What a big truck!	多麼大的一輛卡車啊！
v0290	Let me handle this.	讓我來處理。
v0291	Look at that mountain.	看那山！
v0292	A recent survey shows that the number of smokers is decreasing.	最近的一項調查顯示吸菸的人數減少了。
v0293	He was supposed to come.	他應該來的。
v0294	This is a Turkish tradition.	這是個土耳其的傳統。
v0295	I hate winter.	我恨冬天。
v0296	She lives in a village.	她住在一個村子裡。
v0297	They refuse to integrate.	她們拒絕融入。
v0298	The sales are slipping.	銷售率正在急劇下滑。
v0299	Do a barrel roll.	做個桶滾。
v0300	English is a communication tool.	英語是溝通的工具。
v0301	It's just a blip on a screen.	只是在螢幕上閃了一下。
v0302	No pain no gain.	一分耕耘，一分收穫。
v0304	I must hide.	我需要躲起來。
v0305	Is that pure gold?	那是純金嗎？
v0306	Welcome to the club.	歡迎來到俱樂部。
v0307	He has a farm.	他有一個農場。
v0308	She is full of potential.	她充滿潛力。
v0309	Don't ever say this in my presence again!	別在我面前再提了！
v0310	He is an independent thinker.	他是個獨立思考者。
v0311	He's really in good shape.	他狀態真的很好。
v0312	I am a slow reader.	我看書很慢的。
v0313	The contract was signed.	契約簽訂了。
v0314	The crowd is going nuts.	大家都快瘋了。
v0315	Words express thoughts.	語言表達思想。
v0316	God willing...	若天准許......
v0317	I like the previous person.	喜歡上一個人。
v0318	I play in a band.	我在一個樂團裡演奏。
v0319	Obviously not!	當然不行！
v0320	I own a horse.	我擁有一匹馬。
v0321	I'm not interested.	我不感興趣。
v0322	I aimed my gun at the target.	我把我的手槍指向了目標。
v0323	I've been in prison.	我進過監獄。
v0324	I'll ride with Tom.	我要和湯姆一起騎車。
v0325	I stand guard.	我站崗。
v0326	Tom is on good terms with John.	湯姆和約翰關係很好。
v0327	You're a reporter.	你是個記者。
v0328	The demand is huge.	好大一顆鑽。
v0329	Do you deliver on Sundays?	你們週日送貨嗎？
v0330	She sent a text.	她發了一條簡訊。
v0331	I have a tool.	我有一個工具。
v0332	Don't be so wild, Jack.	傑克,不要那麼撒野。
v0333	Lightning struck the vehicle.	閃電擊中了車子。
v0334	You must observe the law.	你必須遵守法律。
v0335	Have a nice flight.	飛行愉快！
v0337	Your work is below average.	你的工作表現低於平均水平。
v0339	It is to his advantage.	這對他有利。
v0340	Make it quick.	快點。
v0341	Strong leadership was needed.	他們需要領導團隊。
v0342	We work to earn money.	我們為了賺錢而工作。
v0343	We bought a pound of tea.	我們買了一磅的茶。
v0344	Your theory has no scientific basis.	你的理論並沒有科學根據。
v0345	I like bright colors.	我喜歡明亮的顏色。
v0346	The doctor decided to operate at once.	醫生決定立刻動手術。
v0347	Be my guest.	做我的客人吧。
v0348	The sample isn't pure enough.	樣本不夠純淨。
v0349	I will work hard to contribute!	我將會努力作貢獻的！
v0350	I learned to use a command block today.	我今天學會用命令方塊了。
v0351	You need protection.	你需要保護。
v0352	Fighting won't settle anything.	打架解決不了問題。
v0353	I'll feed the dog.	我要餵狗。
v0354	I collect stamps.	我收集郵票。
v0355	We decided to stay an additional day.	我們決定多待一天。
v0356	It is highly improper.	這實在不合適。
v0357	We know the identity of Tom's killer.	我們知道湯姆的殺手是誰。
v0358	It's a misleading title.	這是一個誤導性的標題。
v0359	Lesson Two is easy.	第二課很簡單。
v0360	I've lost faith in you.	我對你失去信心
v0361	Is this a river?	這是一條河嗎?
v0362	May I take a photo?	請問可以給您拍張照片嗎？
v0364	Count me in.	算我一個.
v0365	Maybe tomorrow.	可能明天吧。
v0366	Shougongsha is an old Chinese technique to test a woman's virginity.	守宮砂是中國古代用來驗證女人貞操的方法.
v0367	Follow his path.	跟隨他的道路。
v0368	My ear is itching.	我耳朵癢。
v0369	This is his shop.	這是他的店。
v0371	Everyone will accept that idea in principle.	每個人都將在原則上同意那個想法。
v0372	I cannot lift him.	我抱不起他。
v0373	Tom can't cross the border.	Tom沒辦法穿過邊界。
v0374	We won 6-2 in today's competition.	今天的比賽我們六比二贏了。
v0375	Can you jump rope?	你能跳繩嗎？
v0376	We gather here once a week.	我們每週在這兒聚一次。
v0377	They've upped my limit.	他們提高了我的限額。
v0378	Get fit fast.	速成好身材。
v0379	I want to cry.	我想哭。
v0380	Keep away from the electrical equipment.	遠離電器裝置。
v0381	It's worth a go.	它值得一試。
v0382	He's just a business associate.	他只是個事業合夥人。
v0383	This famous mountain climber is a critic of mass tourism.	這位著名的登山家批評大眾旅遊。
v0384	It's a warm day.	天氣暖和。
v0385	Only some students understand that aspect.	只有幾個學生懂那個方面。
v0386	They insist that he should go.	他們堅持讓他走。
v0387	His failure is obvious.	他的失敗是顯而易見的。
v0388	I don't know my father's annual income.	我不知到我爸的年收入是多少。
v0389	This is my comment.	這是我的評論。
v0390	Forget the sad affair.	把悲傷的事忘掉吧。
v0391	I'm responsible for that.	我對此負有責任。
v0392	Is his pulse regular?	他的脈搏正常嗎？
v0393	That rumor soon spread.	那個謠言很快傳播開來。
v0394	We elected him chairman.	我們選了他當主席。
v0395	You like baseball?	你喜歡棒球嗎？
v0396	That's soft.	這很軟。
v0397	Ignore Tom and me.	無視湯姆和我。
v0398	I have an egg.	我有一隻蛋。
v0399	I have a firm belief in his innocence.	我堅信他是無辜的。
v0400	Can you demonstrate it?	您可以示範一下嗎?
v0401	Anybody home?	家裡有人嗎？
v0402	Did you murder Tom?	是你殺了湯姆嗎？
v0403	He accepted her gift.	他接受了她的禮物。
v0404	Why is religion necessary?	為什麼宗教是必要的？
v0405	Let's review.	咱們回顧一下。
v0406	You don't want to be an editor?	你不想做編輯？
v0408	I hate coffee.	我討厭咖啡。
v0409	I signed the document.	我簽署了檔案。
v0410	Full speed ahead!	全速前進！
v0411	He's very cross.	他非常生氣。
v0412	Don't drive under the influence of drink.	酒後別開車 。
v0413	Thanks anyway.	還是要說謝謝的。
v0414	She tried to commit suicide.	她企圖自殺。
v0415	Did Tom ever threaten you?	湯姆威脅過你嗎？
v0416	I have a female cow.	我有一頭母牛。
v0417	Youth is an asset.	年輕就是本錢。
v0418	A cold wave of fear hit me like a brick.	一陣寒意像磚頭一樣擊中了我。
v0419	He's afraid.	他害怕。
v0420	It's quarter to seven.	六點四十五了。
v0421	Tom has a veterinary background.	Tom有獸醫背景。
v0422	Tom is a Boston native.	湯姆是波士頓本地人。
v0423	Tom has very broad shoulders.	湯姆肩膀很寬。
v0424	Ah, wonderful.	啊，真棒！
v0425	I can't deny it.	我無法否認。
v0426	Tom has apparently done that already.	很明顯，湯姆已經做完了。
v0427	I opened the window slightly.	我開了點窗戶。
v0428	Let's see what the reaction is.	看看反應如何。
v0429	Tom kicked me twice.	湯姆踢了我兩下。
v0430	Suit yourself.	隨你開心。
v0432	The tree stopped growing.	這棵樹停止生長了。
v0433	Blow your nose.	擤擤你的鼻子。
v0434	The road is under construction.	路正在建。
v0435	AI means Artificial Intelligence.	AI是人工智慧的略稱。
v0436	Destroy this temple.	摧毀這個寺廟。
v0437	I am a cook.	我是一名廚師。
v0438	We have a special connection.	我們有特殊聯絡。
v0439	Plastic does not burn easily.	塑膠不易燃燒。
v0440	Wait a second. My shoe is untied.	等下，我鞋帶散了。
v0441	He is my neighbor.	他是我鄰居。
v0442	What grade are you in?	你幾年級？
v0443	No context, no text.	沒有上下文就沒有詞義。
v0444	Are you on the committee?	你是委員會中的成員嗎？
v0445	I made a mistake.	我搞錯了。
v0446	What's their location?	他們的位置是？
v0447	Tom changed clothes.	湯姆換了衣服。
v0448	She is quiet.	她很安靜。
v0449	Dress quickly.	快點穿。
v0450	You promise?	你保證？
v0451	Be more aware!	留點兒神！
v0452	The function f vanishes on the set X.	函式 f 在集合 X 上為零。
v0453	She is all skin and bone.	她瘦得只剩皮包骨了。
v0454	Tom is more active.	湯姆更活躍。
v0455	Our branches extend all over the country.	我們的分店佈滿全國。
v0456	Hello, Chief!	首長好！
v0457	We may combine your personal information with other information.	我們可能會將你的私人資訊和其他資訊結合在一起。
v0458	I have wine.	我有酒。
v0459	It's cool today.	今天很涼快。
v0461	Let's go by bus.	讓我們坐公共汽車去。
v0462	I was learning.	我在學習。
v0463	Welcome to hell!	歡迎來到地獄。
v0464	It's dangerous!	它是危險的!
v0465	I'll remind you.	我會提醒你的。
v0466	He lived a moral life.	他以君子之道生活。
v0467	He is from the United States.	他來自美國。
v0468	She speaks relatively fast.	她說話相當快。
v0469	This is your victory.	這是你們的勝利。
v0470	Academic fraud is more common than you might think.	學術造假比你想像的普遍。
v0471	I'm healthy.	我身體很好。
v0472	Let go of your negative outlook on life.	請拋開你那些負面的人生觀。
v0473	Are you following me?	你在跟著我嗎？
v0474	This is a city of real historical value.	這是一個具有歷史價值的城市。
v0475	Drink the medicine.	喝藥了。
v0476	Would you like a tour?	你想參觀一下嗎？
v0477	We depend on you.	我們可全指望你了。
v0478	Grab the thief!	抓賊啊！
v0479	Is this the direct way to the Prado?	這條路是不是直接通往普拉多博物館？
v0480	The classroom is clean.	教室很乾淨。
v0481	Please contact us.	請聯絡我們。
v0482	He wants justice.	他想要正義。
v0483	Participate!	參與！
v0484	He shaves daily.	他每天刮鬍子。
v0485	That's not fair.	那是不公平的。
v0486	I have a pair of shoes.	我有一雙鞋。
v0487	I'm not famous.	我沒名氣。
v0488	Exercise outdoors.	戶外運動。
v0489	My knee aches.	我的膝蓋疼。
v0490	Is this a flower?	這是花嗎？
v0491	Why should I hire Tom?	為什麼我要僱傭Tom？
v0492	They look familiar.	他們很眼熟。
v0493	Local people can give appropriate advice.	當地人可以給予適切的建議。
v0494	Printing ink is in short supply.	油墨快沒了。
v0495	My house is fully insured.	我的房子絕對保險。
v0496	Is Tom an actor?	湯姆是演員嗎？
v0497	She just gave birth.	她剛生了孩子。
v0498	Search by name.	以姓名搜尋。
v0499	What's democracy?	什麼是民主？
v0501	My primary concern is your safety.	我最關心的是你的安全。
v0502	He died yesterday.	他昨天死了。
v0503	Draw a circle.	畫一個圈。
v0504	This is an old device.	這是臺舊裝置。
v0505	In Progress.	進行中。
v0506	Yanni hit rock bottom.	燕妮跌到谷底。
v0507	Free Turtle Island!	解放龜島！
v0508	What is the exchange rate?	匯率是多少？
v0509	Tom is clean.	湯姆是乾淨的。
v0512	The train is in.	這班火車已經到了。
v0513	He saluted the lady.	他向那位女士問好。
v0514	Minghui is my colleague.	明惠是我的同事。
v0515	This application is awesome.	這個應用好極了。
v0516	Don't lean against the wall.	別倚著牆。
v0517	My neck hurts.	我脖子痛。
v0518	The damage is done.	覆水難收。
v0519	That's plastic.	那是塑膠。
v0520	She is tall.	她高。
v0521	Cancer is a great enemy of humanity.	癌症是人類的大敵。
v0522	Correlation does not imply causation.	相關關係不導致因果關係。
v0524	You're reliable.	你很可靠。
v0525	I want beef, too.	"我也要牛肉。"
v0526	Meg is filled with excitement.	麥格激動不已。
v0527	I call architecture frozen music.	我將建築稱作被凍結的音樂。
v0528	Who is the Administrative Assistant?	誰是行政助理？
v0529	I have occasional pains in the stomach.	我的胃偶爾會陣痛。
v0530	My elbow still hurts.	我的手肘還在痛。
v0531	To him this is a deadly blow.	這對他來說是致命的打擊。
v0533	Never confuse pity with love.	同情心和愛心絕不可混為一談。
v0534	Look! An airplane!	看！飛機！
v0535	Attached is my monthly report.	附上我這個月的報告。
v0536	It looks like a duck.	它看起來像一隻鴨子。
v0540	Give a lecture on literature.	做一次文學講座。
v0541	The sixth prime minister of Malaysia is Dato' Sri Najib Abdul Razak.	馬來西亞第六任首相是拿督斯利納吉·阿都拉薩。
v0543	Tom made a sandwich.	湯姆做了個三明治。
v0545	Helen and Kathy rented an apartment in a suburb of Tokyo.	海倫和凱蒂在東京郊區租了個套間。
v0546	I love the trunk.	我愛樹幹。
v0548	A swallow flies very swiftly.	燕子飛得非常快。
v0551	It's a trap!	這是一個陷阱！
v0553	This cloth irons well.	這塊布料被熨得很好。
v0557	I'm looking for my contact lens.	我在找我的隱形眼鏡。
v0559	Lend it to him.	借給他.
v0560	I'm just a plain office worker.	我只是一個普通的上班族。
v0561	Tom is a tax inspector.	湯姆是稅務督察。
v0562	Academic fraud is more common than you might think.	學術造假比你想像的普遍。
v0564	Tom's strict.	湯姆很嚴格。
v0566	Frankly speaking, he's wrong.	坦率地說，他錯了。
v0567	I broke a nail.	我的指甲斷了。
v0568	The cat ate the rat.	貓吃了老鼠。
v0569	The hallway needs to be wide enough for a wheelchair.	走廊要夠輪椅寬。
v0570	Tom burst into tears.	湯姆淚流滿面。
v0571	War is not inevitable.	戰爭並非不可避免。
v0572	We got lost in the cave.	我們在山洞裡迷了路。
v0574	There's a monster under my bed.	我的床下有怪獸。
v0575	That is rather unexpected.	這真是很意外。
v0577	He can overcome any obstacle.	他能夠超越所有困難。
v0580	The herb used in that pasta sauce might be parsley.	用於那個義大利醬的香草可能是荷蘭芹。
v0583	The unemployment rate went up to 5% because of the recession.	經濟不景氣失業率上升到了5％。
v0584	What was his motive for doing it?	他那樣做有甚麼動機？
v0585	This beer is bitter.	這種啤酒有苦味。
v0586	Tom has written to me.	湯姆給我寫信了。
v0587	The flood caused a lot of damage.	洪水造成了很大的損害。
v0588	My pen is new.	我的鋼筆是新的。
v0589	Management of a company is different from ownership of a company.	管理一間公司和擁有一間公司是不能相提並論的兩回事。
v0590	I had a nightmare.	我做噩夢了。
v0591	Korea allowed an inspection by the IAEA.	韓國允許了國際原子能總署的視察。
v0594	You should consult your doctor.	你應該諮詢你的醫生。
v0595	The ball is that boy's prized possession.	這個球是那個男孩的寶貝。
v0597	Forgive her.	原諒她。
v0599	The basement was flooded.	地下室被水淹了。
v0600	Many people drift through life without a purpose.	許多人毫無目的地隨波逐流。
v0602	Mark your maximum efforts.	盡力而為。
v0606	The warrior is conscious of both his strength and his weakness.	戰士知道自己的力量和弱點。
v0607	My prediction was accurate.	我的預言是真確的。
v0608	Please hurry.	請抓緊時間。
v0609	Don't step in the mud.	別走進泥地。
v0610	A cell phone is as contaminated with bacteria as a toilet is.	手機如同馬桶一樣被細菌汙染。
v0611	It's a privilege to meet you.	幸會。
v0613	Children like outdoor activities.	孩子們喜歡戶外活動。
v0614	Destroy this temple.	摧毀這個寺廟。
v0615	We broadcast news on the hour.	我們正點播報新聞。
v0616	Suck my dick.	吸我的雞巴。
v0617	You are random.	你隨意。
v0618	The curtain fell.	謝幕了。
v0619	Tom sprained his wrist.	湯姆扭傷了手腕。
v0620	The pond is 3 meters deep.	這個池塘有三米深。
v0622	He admitted his guilt.	他承認他有罪。
v0623	Look after the cattle.	照顧好那些牛！
v0624	That's weird.	奇怪。
v0625	What is the minimum wage in Georgia?	請問喬治亞洲的最低工資是多少？
v0626	She is walking.	她在行走。
v0628	I have to take a dump.	我要拉屎。
v0629	The kilt is not a skirt.	蘇格蘭短褶裙不是裙子。
v0631	It's very uncomfortable.	真讓人不舒服。
v0633	This is the ideology to which my speech is written.	我的演講稿就是依據這個理論寫的。
v0634	Play us a tune.	給我們彈一手。
v0635	I will play Sudoku then instead of continuing to bother you.	那我就不繼續打擾你，玩數獨遊戲去了。
v0636	Is that the railroad station?	這是火車站嗎？
v0637	Can she endure a long trip?	她能忍受長途旅行嗎？
v0638	I don't wish to harm you.	我不想傷害你。
v0639	The ozone in the stratosphere absorbs ultraviolet radiation.	平流層的臭氧會吸收紫外線。
v0640	This may sound like blowing my own horn, but ...	這聽起來可能像是我在自吹自擂, 但是...
v0642	Country life is very peaceful in comparison with city life.	和都市生活相比，鄉村生活和諧多了。
v0643	History develops through the replacement of the old by the new.	新事物取代舊事物推動歷史發展。
v0645	I want a guitar.	我想要一把吉他。
v0646	The rope broke under the strain.	繩子被拉斷了。
v0647	Behave yourself.	規矩點。
v0650	Aoi became a dancer.	葵成為一個舞蹈家。
v0651	May I use your ink pad?	可以借你的印臺一用嗎？
v0652	Can you drive a manual transmission?	你會開手排車嗎?
v0653	Tom put the gun to his own head and pulled the trigger.	湯姆把槍頂到了自己頭上，扣動了扳機。
v0655	I await updates.	我等待更新。
v0656	I'm retired.	我退休了。
v0657	What did you spill?	你灑了什麼？
v0658	I'm truly grateful!	真是太感謝你了！
v0659	Kenya used to be a British colony.	肯亞曾經是英國的殖民地。
v0662	This plant is indigenous to Canada.	這種植物原產於加拿大。
v0663	He closed his eyes.	他閉上了眼睛。
v0664	I need a towel.	我需要一塊毛巾。
v0666	We want to modify the regulations of our school.	我們想修改學校的規章制度。
v0667	I've won first prize!	我贏得了第一名！
