id,en,zh,level,source
v0181,lead,鉛,1,ecdict-v1
v0182,social,社會的,1,ecdict-v1
v0183,understand,理解,1,ecdict-v1
v0184,watch,觀察,1,ecdict-v1
v0185,together,一起,1,ecdict-v1
v0186,follow,跟隨,1,ecdict-v1
v0187,parent,父母,1,ecdict-v1
v0188,stop,停止,1,ecdict-v1
v0189,face,臉,1,ecdict-v1
v0190,anything,任何事,1,ecdict-v1
v0191,create,創造,1,ecdict-v1
v0192,public,公眾,1,ecdict-v1
v0193,already,已經,1,ecdict-v1
v0194,read,讀,1,ecdict-v1
v0195,level,水平,1,ecdict-v1
v0196,allow,允許,1,ecdict-v1
v0197,add,增加,1,ecdict-v1
v0198,office,辦公室,1,ecdict-v1
v0199,spend,花費,1,ecdict-v1
v0200,door,門,1,ecdict-v1
v0201,health,健康,1,ecdict-v1
v0202,art,藝術,1,ecdict-v1
v0203,sure,確信,1,ecdict-v1
v0204,war,戰爭,1,ecdict-v1
v0205,history,歷史,1,ecdict-v1
v0206,party,宴會,1,ecdict-v1
v0207,grow,種植,1,ecdict-v1
v0208,result,結果,1,ecdict-v1
v0209,open,公開,1,ecdict-v1
v0210,morning,早晨,1,ecdict-v1
v0211,walk,走,1,ecdict-v1
v0212,reason,理由,1,ecdict-v1
v0213,low,低點,1,ecdict-v1
v0214,win,贏得,1,ecdict-v1
v0215,research,研究,1,ecdict-v1
v0216,girl,女孩,1,ecdict-v1
v0217,guy,傢伙,1,ecdict-v1
v0218,early,早的,1,ecdict-v1
v0219,food,食物,1,ecdict-v1
v0220,moment,片刻,1,ecdict-v1
v0221,air,空氣,1,ecdict-v1
v0222,teacher,教師,1,ecdict-v1
v0223,force,力量,1,ecdict-v1
v0224,offer,給予,1,ecdict-v1
v0225,enough,充足,1,ecdict-v1
v0226,education,教育,1,ecdict-v1
v0227,remember,記得,1,ecdict-v1
v0228,foot,腳,1,ecdict-v1
v0229,second,秒,1,ecdict-v1
v0230,boy,男孩,1,ecdict-v1
v0231,maybe,也許,1,ecdict-v1
v0232,able,能幹的,1,ecdict-v1
v0233,age,年齡,1,ecdict-v1
v0234,policy,政策,1,ecdict-v1
v0235,everything,每件事物,1,ecdict-v1
v0236,love,愛,1,ecdict-v1
v0237,process,程式,1,ecdict-v1
v0238,music,音樂,1,ecdict-v1
v0239,including,包含,1,ecdict-v1
v0240,consider,考慮,1,ecdict-v1
v0241,appear,出現,1,ecdict-v1
v0242,actually,事實上,1,ecdict-v1
v0243,buy,買,1,ecdict-v1
v0244,probably,大概,1,ecdict-v1
v0245,wait,等待,1,ecdict-v1
v0246,market,市場,1,ecdict-v1
v0247,die,死亡,1,ecdict-v1
v0248,send,傳送,1,ecdict-v1
v0249,expect,預期,1,ecdict-v1
v0250,sense,感應,1,ecdict-v1
v0251,build,建立,1,ecdict-v1
v0252,stay,停留,1,ecdict-v1
v0253,fall,落下,1,ecdict-v1
v0254,plan,計劃,1,ecdict-v1
v0255,cut,切口,1,ecdict-v1
v0256,college,學院,1,ecdict-v1
v0257,interest,興趣,1,ecdict-v1
v0258,course,課程,1,ecdict-v1
v0259,someone,有人,1,ecdict-v1
v0260,experience,經歷,1,ecdict-v1
v0261,date,日期,2,ecdict-v1
v0262,generally,通常,2,ecdict-v1
v0263,sorry,難過的,2,ecdict-v1
v0264,crisis,危機,2,ecdict-v1
v0265,complete,完全的,2,ecdict-v1
v0266,fan,風扇,2,ecdict-v1
v0267,stick,棍,2,ecdict-v1
v0268,define,定義,2,ecdict-v1
v0269,easily,容易地,2,ecdict-v1
v0270,hole,孔,2,ecdict-v1
v0271,element,元件,2,ecdict-v1
v0272,status,狀態,2,ecdict-v1
v0273,vision,視覺,2,ecdict-v1
v0274,normal,常態,2,ecdict-v1
v0275,ship,船,2,ecdict-v1
v0276,stone,石頭,2,ecdict-v1
v0277,solution,解決,2,ecdict-v1
v0278,slowly,慢慢地,2,ecdict-v1
v0279,scale,刻度,2,ecdict-v1
v0280,introduce,介紹,2,ecdict-v1
v0281,driver,駕駛員,2,ecdict-v1
v0282,spot,汙點,2,ecdict-v1
v0283,lack,缺乏,2,ecdict-v1
v0284,ice,冰,2,ecdict-v1
v0285,drink,飲料,2,ecdict-v1
v0286,sun,太陽,2,ecdict-v1
v0287,distance,距離,2,ecdict-v1
v0288,wood,木材,2,ecdict-v1
v0289,truck,卡車,2,ecdict-v1
v0290,handle,柄,2,ecdict-v1
v0291,mountain,山,2,ecdict-v1
v0292,survey,縱覽,2,ecdict-v1
v0293,supposed,想像上的,2,ecdict-v1
v0294,tradition,傳說,2,ecdict-v1
v0295,winter,冬季,2,ecdict-v1
v0296,village,村莊,2,ecdict-v1
v0297,refuse,拒絕,2,ecdict-v1
v0298,sales,銷售的,2,ecdict-v1
v0299,roll,卷,2,ecdict-v1
v0300,communication,交流,2,ecdict-v1
v0301,screen,幕,2,ecdict-v1
v0302,gain,增益,2,ecdict-v1
v0303,resident,居民,2,ecdict-v1
v0304,hide,獸皮,2,ecdict-v1
v0305,gold,黃金,2,ecdict-v1
v0306,club,俱樂部,2,ecdict-v1
v0307,farm,農場,2,ecdict-v1
v0308,potential,潛在性,2,ecdict-v1
v0309,presence,出席,2,ecdict-v1
v0310,independent,獨立自主者,2,ecdict-v1
v0311,shape,形狀,2,ecdict-v1
v0312,reader,讀者,2,ecdict-v1
v0313,contract,合約,2,ecdict-v1
v0314,crowd,群眾,2,ecdict-v1
v0315,express,快車,2,ecdict-v1
v0316,willing,樂意的,2,ecdict-v1
v0317,previous,早先的,2,ecdict-v1
v0318,band,帶子,2,ecdict-v1
v0319,obviously,顯而易見地,2,ecdict-v1
v0320,horse,馬,2,ecdict-v1
v0321,interested,感興趣的,2,ecdict-v1
v0322,target,目標,2,ecdict-v1
v0323,prison,監獄,2,ecdict-v1
v0324,ride,騎馬,2,ecdict-v1
v0325,guard,守衛者,2,ecdict-v1
v0326,terms,條件,2,ecdict-v1
v0327,reporter,記者,2,ecdict-v1
v0328,demand,要求,2,ecdict-v1
v0329,deliver,遞送,2,ecdict-v1
v0330,text,文本,2,ecdict-v1
v0331,tool,工具,2,ecdict-v1
v0332,wild,荒野,2,ecdict-v1
v0333,vehicle,交通工具,2,ecdict-v1
v0334,observe,覺察到,2,ecdict-v1
v0335,flight,飛行,2,ecdict-v1
v0336,facility,容易,2,ecdict-v1
v0337,average,平均,2,ecdict-v1
v0338,emerge,浮現,2,ecdict-v1
v0339,advantage,優點,2,ecdict-v1
v0340,quick,快的,2,ecdict-v1
v0341,leadership,領導能力,2,ecdict-v1
v0342,earn,賺得,2,ecdict-v1
v0343,pound,磅,2,ecdict-v1
v0344,basis,基礎,2,ecdict-v1
v0345,bright,明亮的,2,ecdict-v1
v0346,operate,操作,2,ecdict-v1
v0347,guest,客人,2,ecdict-v1
v0348,sample,樣品,2,ecdict-v1
v0349,contribute,有助於,2,ecdict-v1
v0350,block,街區,2,ecdict-v1
v0351,protection,保護,2,ecdict-v1
v0352,settle,有背長椅,2,ecdict-v1
v0353,feed,飼料,2,ecdict-v1
v0354,collect,收集,2,ecdict-v1
v0355,additional,附加的,2,ecdict-v1
v0356,highly,非常,2,ecdict-v1
v0357,identity,身份,2,ecdict-v1
v0358,title,頭銜,2,ecdict-v1
v0359,lesson,課,2,ecdict-v1
v0360,faith,信心,2,ecdict-v1
v0361,river,河,2,ecdict-v1
v0362,photo,相片,2,ecdict-v1
v0363,promote,促進,2,ecdict-v1
v0364,count,計算,2,ecdict-v1
v0365,tomorrow,明天,2,ecdict-v1
v0366,technique,技巧,2,ecdict-v1
v0367,path,路徑,2,ecdict-v1
v0368,ear,耳朵,2,ecdict-v1
v0369,shop,商店,2,ecdict-v1
v0370,folk,人們,2,ecdict-v1
v0371,principle,原則,2,ecdict-v1
v0372,lift,舉起,2,ecdict-v1
v0373,border,邊緣,2,ecdict-v1
v0374,competition,競爭,2,ecdict-v1
v0375,jump,跳躍,2,ecdict-v1
v0376,gather,集合,2,ecdict-v1
v0377,limit,界限,2,ecdict-v1
v0378,fit,適宜,2,ecdict-v1
v0379,cry,叫聲,2,ecdict-v1
v0380,equipment,裝備,2,ecdict-v1
v0381,worth,價值,2,ecdict-v1
v0382,associate,同伴,2,ecdict-v1
v0383,critic,批評家,2,ecdict-v1
v0384,warm,暖和的,2,ecdict-v1
v0385,aspect,外觀,2,ecdict-v1
v0386,insist,堅持,2,ecdict-v1
v0387,failure,失敗,2,ecdict-v1
v0388,annual,年刊,2,ecdict-v1
v0389,comment,註解,2,ecdict-v1
v0390,affair,事件,2,ecdict-v1
v0391,responsible,有責任的,2,ecdict-v1
v0392,regular,規則的,2,ecdict-v1
v0393,spread,傳播,2,ecdict-v1
v0394,chairman,主席,2,ecdict-v1
v0395,baseball,棒球,2,ecdict-v1
v0396,soft,軟的,2,ecdict-v1
v0397,ignore,不理睬,2,ecdict-v1
v0398,egg,蛋,2,ecdict-v1
v0399,belief,信念,2,ecdict-v1
v0400,demonstrate,示範,2,ecdict-v1
v0401,anybody,任何人,2,ecdict-v1
v0402,murder,謀殺,2,ecdict-v1
v0403,gift,禮物,2,ecdict-v1
v0404,religion,宗教,2,ecdict-v1
v0405,review,檢討,2,ecdict-v1
v0406,editor,編者,2,ecdict-v1
v0407,engage,答應,2,ecdict-v1
v0408,coffee,咖啡,2,ecdict-v1
v0409,document,檔案,2,ecdict-v1
v0410,speed,速率,2,ecdict-v1
v0411,cross,十字架,2,ecdict-v1
v0412,influence,影響力,2,ecdict-v1
v0413,anyway,無論如何,2,ecdict-v1
v0414,commit,委託,2,ecdict-v1
v0415,threaten,恐嚇,2,ecdict-v1
v0416,female,女性,2,ecdict-v1
v0417,youth,年輕,2,ecdict-v1
v0418,wave,波,2,ecdict-v1
v0419,afraid,害怕的,2,ecdict-v1
v0420,quarter,四分之一,2,ecdict-v1
v0421,background,背景,2,ecdict-v1
v0422,native,本地人,2,ecdict-v1
v0423,broad,寬廣的,2,ecdict-v1
v0424,wonderful,令人驚奇的,2,ecdict-v1
v0425,deny,否認,2,ecdict-v1
v0426,apparently,表面上,2,ecdict-v1
v0427,slightly,些微地,2,ecdict-v1
v0428,reaction,反應,2,ecdict-v1
v0429,twice,兩次,2,ecdict-v1
v0430,suit,套裝,2,ecdict-v1
v0431,perspective,遠景,2,ecdict-v1
v0432,growing,成長的,2,ecdict-v1
v0433,blow,吹,2,ecdict-v1
v0434,construction,建築,2,ecdict-v1
v0435,intelligence,智力,2,ecdict-v1
v0436,destroy,破壞,2,ecdict-v1
v0437,cook,廚子,2,ecdict-v1
v0438,connection,連線,2,ecdict-v1
v0439,burn,燒,2,ecdict-v1
v0440,shoe,鞋,2,ecdict-v1
v0441,neighbor,鄰居,2,ecdict-v1
v0442,grade,等級,2,ecdict-v1
v0443,context,上下文,2,ecdict-v1
v0444,committee,委員會,2,ecdict-v1
v0445,mistake,錯誤,2,ecdict-v1
v0446,location,位置,2,ecdict-v1
v0447,clothes,衣服,2,ecdict-v1
v0448,quiet,安靜,2,ecdict-v1
v0449,dress,服裝,2,ecdict-v1
v0450,promise,諾言,2,ecdict-v1
v0451,aware,知道的,2,ecdict-v1
v0452,function,官能,2,ecdict-v1
v0453,bone,骨頭,2,ecdict-v1
v0454,active,活躍的,2,ecdict-v1
v0455,extend,擴充,2,ecdict-v1
v0456,chief,領袖,2,ecdict-v1
v0457,combine,聯合,2,ecdict-v1
v0458,wine,葡萄酒,2,ecdict-v1
v0459,cool,涼爽,2,ecdict-v1
v0460,voter,選民,2,ecdict-v1
v0461,bus,公共汽車,2,ecdict-v1
v0462,learning,學問,2,ecdict-v1
v0463,hell,地獄,2,ecdict-v1
v0464,dangerous,危險的,2,ecdict-v1
v0465,remind,提醒,2,ecdict-v1
v0466,moral,道德,2,ecdict-v1
v0467,united,聯合的,2,ecdict-v1
v0468,relatively,相對地,2,ecdict-v1
v0469,victory,勝利,2,ecdict-v1
v0470,academic,學院的,2,ecdict-v1
v0471,healthy,健康的,2,ecdict-v1
v0472,negative,否定,2,ecdict-v1
v0473,following,下列各項,2,ecdict-v1
v0474,historical,歷史的,2,ecdict-v1
v0475,medicine,藥,2,ecdict-v1
v0476,tour,旅遊,2,ecdict-v1
v0477,depend,靠,2,ecdict-v1
v0478,grab,抓握,2,ecdict-v1
v0479,direct,直接的,2,ecdict-v1
v0480,classroom,教室,2,ecdict-v1
v0481,contact,聯絡,2,ecdict-v1
v0482,justice,正義,2,ecdict-v1
v0483,participate,參加,2,ecdict-v1
v0484,daily,每日的,2,ecdict-v1
v0485,fair,展覽會,2,ecdict-v1
v0486,pair,一雙,2,ecdict-v1
v0487,famous,出名的,2,ecdict-v1
v0488,exercise,行使,2,ecdict-v1
v0489,knee,膝,2,ecdict-v1
v0490,flower,花,2,ecdict-v1
v0491,hire,租金,2,ecdict-v1
v0492,familiar,熟悉的,2,ecdict-v1
v0493,appropriate,適當的,2,ecdict-v1
v0494,supply,補給,2,ecdict-v1
v0495,fully,十分地,2,ecdict-v1
v0496,actor,男演員,2,ecdict-v1
v0497,birth,出生,2,ecdict-v1
v0498,search,搜尋,2,ecdict-v1
v0499,democracy,民主政治,2,ecdict-v1
v0500,eastern,東方人,2,ecdict-v1
v0501,primary,最主要者,2,ecdict-v1
v0502,yesterday,昨天,2,ecdict-v1
v0503,circle,圓周,2,ecdict-v1
v0504,device,裝置,2,ecdict-v1
v0505,progress,進步,2,ecdict-v1
v0506,bottom,底部,2,ecdict-v1
v0507,island,島,2,ecdict-v1
v0508,exchange,交換,2,ecdict-v1
v0509,clean,乾淨的,2,ecdict-v1
v0510,studio,工作室,2,ecdict-v1
v0511,county,縣,2,ecdict-v1
v0512,train,火車,2,ecdict-v1
v0513,lady,淑女,2,ecdict-v1
v0514,colleague,同事,2,ecdict-v1
v0515,application,應用,2,ecdict-v1
v0516,lean,瘦肉,2,ecdict-v1
v0517,neck,脖子,2,ecdict-v1
v0518,damage,損害,2,ecdict-v1
v0519,plastic,塑膠,2,ecdict-v1
v0520,tall,高的,2,ecdict-v1
v0521,humanity,人性,3,ecdict-v1
v0522,correlation,相互關係,3,ecdict-v1
v0523,developer,開發者,3,ecdict-v1
v0524,reliable,可靠的,3,ecdict-v1
v0525,beef,牛肉,3,ecdict-v1
v0526,excitement,刺激,3,ecdict-v1
v0527,architecture,建築學,3,ecdict-v1
v0528,administrative,管理的,3,ecdict-v1
v0529,occasional,偶然的,3,ecdict-v1
v0530,elbow,手肘,3,ecdict-v1
v0531,deadly,致命的,3,ecdict-v1
v0532,allegation,斷言,3,ecdict-v1
v0533,confuse,使混亂,3,ecdict-v1
v0534,airplane,飛機,3,ecdict-v1
v0535,monthly,月刊,3,ecdict-v1
v0536,duck,鴨子,3,ecdict-v1
v0537,dose,劑量,3,ecdict-v1
v0538,initiate,入會,3,ecdict-v1
v0539,plead,辯護,3,ecdict-v1
v0540,lecture,演講,3,ecdict-v1
v0541,sixth,第六,3,ecdict-v1
v0542,mainstream,主流,3,ecdict-v1
v0543,sandwich,三明治,3,ecdict-v1
v0544,implementation,安裝啟用,3,ecdict-v1
v0545,suburb,市郊住宅區,3,ecdict-v1
v0546,trunk,樹幹,3,ecdict-v1
v0547,motivate,給與動機,3,ecdict-v1
v0548,swallow,燕子,3,ecdict-v1
v0549,longtime,長時間的,3,ecdict-v1
v0550,render,回報,3,ecdict-v1
v0551,trap,圈套,3,ecdict-v1
v0552,restrict,限制,3,ecdict-v1
v0553,cloth,布料,3,ecdict-v1
v0554,seemingly,看來似乎,3,ecdict-v1
v0555,legislative,立法機構,3,ecdict-v1
v0556,effectiveness,效力,3,ecdict-v1
v0557,lens,透鏡,3,ecdict-v1
v0558,enforce,強迫,3,ecdict-v1
v0559,lend,借,3,ecdict-v1
v0560,plain,平原,3,ecdict-v1
v0561,inspector,檢查員,3,ecdict-v1
v0562,fraud,欺騙,3,ecdict-v1
v0563,contend,奮鬥,3,ecdict-v1
v0564,strict,嚴厲的,3,ecdict-v1
v0565,array,排列,3,ecdict-v1
v0566,frankly,坦白地,3,ecdict-v1
v0567,nail,釘子,3,ecdict-v1
v0568,rat,鼠,3,ecdict-v1
v0569,hallway,門廳,3,ecdict-v1
v0570,burst,破裂,3,ecdict-v1
v0571,inevitable,不可避免的,3,ecdict-v1
v0572,cave,洞,3,ecdict-v1
v0573,southwest,西南,3,ecdict-v1
v0574,monster,怪物,3,ecdict-v1
v0575,unexpected,料想不到的,3,ecdict-v1
v0576,facilitate,使容易,3,ecdict-v1
v0577,obstacle,障礙,3,ecdict-v1
v0578,overwhelming,壓倒性的,3,ecdict-v1
v0579,rip,裂痕,3,ecdict-v1
v0580,herb,藥草,3,ecdict-v1
v0581,crystal,水晶,3,ecdict-v1
v0582,integration,綜合,3,ecdict-v1
v0583,recession,後退,3,ecdict-v1
v0584,motive,動機,3,ecdict-v1
v0585,bitter,苦的,3,ecdict-v1
v0586,written,書面的,3,ecdict-v1
v0587,flood,洪水,3,ecdict-v1
v0588,pen,鋼筆,3,ecdict-v1
v0589,ownership,所有權,3,ecdict-v1
v0590,nightmare,夢魘,3,ecdict-v1
v0591,inspection,檢驗,3,ecdict-v1
v0592,supervisor,管理者,3,ecdict-v1
v0593,arena,角鬥場,3,ecdict-v1
v0594,consult,商討,3,ecdict-v1
v0595,possession,擁有,3,ecdict-v1
v0596,diagnosis,診斷,3,ecdict-v1
v0597,forgive,原諒,3,ecdict-v1
v0598,consistently,堅固,3,ecdict-v1
v0599,basement,地下室,3,ecdict-v1
v0600,drift,漂流物,3,ecdict-v1
v0601,drain,排水溝,3,ecdict-v1
v0602,maximum,極點,3,ecdict-v1
v0603,announcement,公告,3,ecdict-v1
v0604,prosecution,執行,3,ecdict-v1
v0605,questionnaire,調查表,3,ecdict-v1
v0606,warrior,戰士,3,ecdict-v1
v0607,prediction,預言,3,ecdict-v1
v0608,hurry,匆忙,3,ecdict-v1
v0609,mud,泥,3,ecdict-v1
v0610,bacteria,細菌,3,ecdict-v1
v0611,privilege,特權,3,ecdict-v1
v0612,infrastructure,基礎結構,3,ecdict-v1
v0613,outdoor,戶外的,3,ecdict-v1
v0614,temple,聖堂,3,ecdict-v1
v0615,broadcast,廣播,3,ecdict-v1
v0616,suck,吸,3,ecdict-v1
v0617,random,隨意,3,ecdict-v1
v0618,curtain,帳,3,ecdict-v1
v0619,wrist,手腕,3,ecdict-v1
v0620,pond,池塘,3,ecdict-v1
v0621,domain,領域,3,ecdict-v1
v0622,guilt,罪行,3,ecdict-v1
v0623,cattle,牛,3,ecdict-v1
v0624,weird,怪異的,3,ecdict-v1
v0625,minimum,最小的,3,ecdict-v1
v0626,walking,步行,3,ecdict-v1
v0627,fiscal,財政的,3,ecdict-v1
v0628,dump,垃圾場,3,ecdict-v1
v0629,skirt,裙子,3,ecdict-v1
v0630,database,資料庫,3,ecdict-v1
v0631,uncomfortable,不舒服的,3,ecdict-v1
v0632,limb,四肢,3,ecdict-v1
v0633,ideology,思想體系,3,ecdict-v1
v0634,tune,歌曲,3,ecdict-v1
v0635,continuing,繼續的,3,ecdict-v1
v0636,railroad,鐵路,3,ecdict-v1
v0637,endure,忍受,3,ecdict-v1
v0638,harm,傷害,3,ecdict-v1
v0639,radiation,輻射,3,ecdict-v1
v0640,horn,角,3,ecdict-v1
v0641,chronic,慢性的,3,ecdict-v1
v0642,peaceful,平靜的,3,ecdict-v1
v0643,replacement,歸還,3,ecdict-v1
v0644,innovation,改革,3,ecdict-v1
v0645,guitar,吉他,3,ecdict-v1
v0646,strain,緊張,3,ecdict-v1
v0647,behave,舉止端正,3,ecdict-v1
v0648,administer,管理,3,ecdict-v1
v0649,simultaneously,同時發生,3,ecdict-v1
v0650,dancer,舞蹈演員,3,ecdict-v1
v0651,pad,填補,3,ecdict-v1
v0652,transmission,傳輸,3,ecdict-v1
v0653,trigger,觸發器,3,ecdict-v1
v0654,amendment,修訂,3,ecdict-v1
v0655,await,等候,3,ecdict-v1
v0656,retired,隱退的,3,ecdict-v1
v0657,spill,溢位,3,ecdict-v1
v0658,grateful,感謝的,3,ecdict-v1
v0659,colony,殖民地,3,ecdict-v1
v0660,adoption,採用,3,ecdict-v1
v0661,convict,囚犯,3,ecdict-v1
v0662,indigenous,本土的,3,ecdict-v1
v0663,closed,關閉的,3,ecdict-v1
v0664,towel,手巾,3,ecdict-v1
v0665,particle,顆粒,3,ecdict-v1
v0666,modify,修正,3,ecdict-v1
v0667,prize,獎賞,3,ecdict-v1
v0668,landing,登陸,3,ecdict-v1
v0669,boost,推進,3,ecdict-v1
v0670,bat,蝙蝠,3,ecdict-v1
v0671,alarm,驚恐,3,ecdict-v1
v0672,grip,緊握,3,ecdict-v1
v0673,festival,節日的,3,ecdict-v1
v0674,sweat,汗,3,ecdict-v1
v0675,outer,外部的,3,ecdict-v1
